date	Infected	Is.Cum	Is	Iv	Iv.cum	Recovered	Rec.cum	Dead	Dead.cum	Vaksin	Vak.cum
06/02/2022	36057	3487712	24288	11769	1139845	8577	3349482	57	115699	296532	131080665
07/02/2022	26121	3513833	17595	8526	1148371	10708	3360190	82	115781	38694	131119359
08/02/2022	37492	3551325	25255	12237	1160608	14016	3374206	83	115864	970694	132090053
09/02/2022	46843	3598168	31553	15290	1175898	18182	3392388	65	115929	577872	132667925
10/02/2022	40618	3638786	27360	13258	1189156	15767	3408155	74	116003	1035757	133703682
11/02/2022	40489	3679275	27273	13216	1202372	32570	3440725	100	116103	700241	134403923
12/02/2022	55209	3734484	37189	18020	1220392	26916	3467641	107	116210	805244	135209167
13/02/2022	44526	3779010	29993	14533	1234925	13338	3480979	111	116321	557443	135766610
14/02/2022	36501	3815511	24587	11914	1246839	26747	3507726	145	116466	47353	135813963
15/02/2022	57049	3872560	38428	18621	1265460	25386	3533112	134	116600	833899	136647862
16/02/2022	64718	3937278	43594	21124	1286584	39072	3572184	167	116767	837447	137485309
17/02/2022	63956	4001234	43081	20875	1307459	32904	3605088	206	116973	795584	138280893
18/02/2022	59635	4060869	40170	19465	1326924	34699	3639787	216	117189	859508	139140401
19/02/2022	59384	4120253	40001	19383	1346307	32873	3672660	158	117347	805661	139946062
20/02/2022	48484	4168737	32659	15825	1362132	39929	3712589	163	117510	354959	140301021
21/02/2022	34418	4203155	23184	11234	1373366	38474	3751063	176	117686	119384	140420405
22/02/2022	57491	4260646	38726	18765	1392131	39170	3790233	257	117943	621930	141042335
23/02/2022	61488	4322134	41418	20070	1412201	42518	3832751	227	118170	763929	141806264
24/02/2022	57426	4379560	38682	18744	1430945	61361	3894112	317	118487	710916	142517180
25/02/2022	49447	4429007	33307	16140	1447085	41805	3935917	244	118731	763049	143280229
26/02/2022	46643	4475650	31419	15224	1462309	39384	3975301	258	118989	494396	143774625
27/02/2022	34976	4510626	23560	11416	1473725	43992	4019293	229	119218	3932	143778557
28/02/2022	25054	4535680	16876	8178	1481903	39887	4059180	262	119480	680133	144458690
